topicid,word,count
0,the,0.062076205829293
0,to,0.0165196779515906
0,have,0.0141497459381659
0,is,0.0133149988734793
0,of,0.0117483200974867
0,coils,0.00694149010416842
0,in,0.00606035688711404
0,i,0.00586092885574862
0,a,0.00559252441165233
0,for,0.00553877590366239
0,are,0.0052384789757553
0,or,0.00515082277679804
0,with,0.00508933330673334
0,if,0.0045533624565529
0,my,0.00388593637892218
0,car,0.00371226134102502
0,from,0.003564993817325
0,there,0.00354053464346409
0,when,0.00333227854403529
0,how,0.00322036381172944
1,i,0.0400933259550451
1,control,0.0157288591190634
1,coil,0.0110171805649947
1,a,0.00961757654699039
1,the,0.00948553493035085
1,arm,0.00901331217823802
1,bushings,0.00771156816408399
1,lower,0.00755457057360558
1,would,0.00712674513376449
1,that,0.00689566341677579
1,cylinder,0.006523700595822
1,to,0.00583691292451293
1,fault,0.00555992006469912
1,also,0.00540455670934014
1,arms,0.00503892185026179
1,right,0.00475121031194494
1,too,0.00461380350522814
1,at,0.00422640346821989
1,my,0.00388215250791962
1,about,0.00384854353380454
2,the,0.0469110122330825
2,and,0.0264743482775265
2,it,0.0233977528704176
2,a,0.0179811455730813
2,to,0.016560847225993
2,you,0.0158269168255727
2,on,0.012008111080466
2,is,0.0115113794158823
2,be,0.0102385647796866
2,front,0.00985407992468148
2,any,0.00856722534630549
2,spring,0.00839337690546356
2,strut,0.00830765688476666
2,if,0.0076437789689447
2,that,0.00677064022758138
2,suggestions,0.00604767252858605
2,can,0.00586724666581969
2,or,0.00579649336566978
2,bad,0.00564611039935801
2,in,0.00494937935497461
